sentences ,level

يـُقدم الطبق بارداً.

سلطة الحمص.

المقادير:

كوب حمص جاف.

2 ملعقة كبيرة طحينة.

1\ 4 كوب عصير الليمون.

1 ملعقة كبيرة خل أبيض.

1 ملعقة صغيرة من الثوم المدقوق.

1 ملعقة كبيرة زيت زيتون.

ملح وفلفل.

الطريقة:

يغسل الحمص جيداً، ثم ينقع في الماء لمدة 6 ساعات على الأقل.

يوضع الحمص في وعاء عميق ويسلق لمدة ساعة تقريباً.

يصفّى الحمص ويهرس جيداً في الخلاط.

تـُخلط الطحينة مع عصير الليمون والخل والثوم والملح والفلفل حتى يصبح مزيجاً ناعماً.

يـُخلط الحمص مع مزيج الطحينة ويقلب جيداً.

ويـُقدم الطبق ساخناً أو بارداً حسب الرغبة.
",A
"النص الأول:

مطعم العربي.

لائحة الطعام (خدمة توصيل المنازل):

المشروبات:

فنجان شاي ليبتون.

فنجان قهوة.

زجاجة مياه غازية.

كوب عصير (ليمون أو مانجو أو جوافه).

السلاطات:

سلاطة طحينة.

بابا غنوج أو حمص.

سلاطة خضراء.

الشوربة:

شوربة خضار.

شوربة عدس.

شوربة طماطم.

المشويات:

كباب وكوفتة.

كبدة مشوية.

خضروات متنوعة مشوية.

الأطباق الرئيسية:

مكرونة فرن.

مكرونة سباجتي باللحم المفروم.

أرز باللحم المفروم.

خضار باللحم.

خضار مشوي بالأرز.

طبق خضار بالكاري.

الطيور:

فراخ مشوية.

حمامة مشوية.

حمامة محشية بالأرز.

الأسماك:

طاجن سمك بالخضار.

جمبري مشوي.

الحلويات:

مهلبية.

كريم كراميل.

يضاف 12% خدمة داخل المطعم.

يضاف 10% ضريبة عامة على المبيعات 10.

ش عبد المنعم رياض- العجوزة، ت:   68398 -334.

النص الثاني:

مطعم فلفلة.

يقدم مطعم فلفلة ألذ وأطعم المأكولات المصرية الشهيرة، فنحن نقدم المأكولات الشعبية مثل الفول والفلافل والكشري بالإضافة إلى المشويات مثل الكباب والكفتة والطيور المشوية والسلطات المختلفة.

وخدمة توصيل المنازل موجودة يومياً من الساعة الحادية عشر صباحاً حتى منتصف الليل.

لا نقبل بطاقات الائتمان ونضيف 11% ضريبة المبيعات على كل الطلبات. ممنوع التدخين داخل مطعمنا.

يقع مطعمنا في 15 شارع هدى شعراوي (وسط البلد بالقرب من ميدان طلعت حرب) ت: 392- 283 والجوال: 393- 2833.
",A
"يُعلن مستشفى الجرّاح عن توفر الخدمات العلاجية التالية في بنايتها الواقعة في شارع الزيتون مدينة بغداد، للاستفسار والحجز يُرجى الاتصال بالهواتف التالية : 079012324 او الرقم 079023245.

خدمات الفحص المخبري.

يقدم مختبر المستشفى المجهز بأحدث أجهزة الفحص المخبري الخدمات التالية:

فحص الدم، فحص البول، فحص بأشعة أكس.

خدمات قسم الجراحة.

يقدم قسم الجراحة الذي يشرف عليه الدكتور صباح الساعدي الخدمات التالية: إجراء العمليات الجراحية وبأسعار مناسبة وبأيدي جراحين اخصائيين أكفاء.

الاطباء الاخصائيون:

طبيب عيون.

طبيب اطفال.

طبيب أنف وأذن وحنجرة.

طبيب عظام وكسور.

طبيب باطني.

طبيبة نسائية وتوليد.

خدمة الاسعاف الفوري.

تتوفر في المستشفى ثلاث سيارات تعمل على مدار الساعة مجهزة بمعدات اسعاف حديثة. إذا أردت استدعاء سيارة اسعاف في حالة حدوث حادث اتصل بالرقم التالي 090732345.

خدمة الصيدلية:
توفر صيدلية المستشفى مختلف انواع الأدوية للوصفات الطبية ولمختلف الأمراض. لدينا مجموعة كبيرة من الأعشاب الطبية. تقع الصيدلية في الطابق الثاني من المستشفى.

العمل في المستشفى:

من مزايا العمل في مستشفى سعد الجراح هي:

-الرواتب المجزية.

-توفير سكن.

-النقل اليومي من مكان العمل وإليه.
",A
"يعلن مركز الغد للتسوق عن توفر الدرجات الوظيفية التالية للعمل في فروع ومخازن المركز:

مدير مبيعات: لا يقل عمر المتقدم عن 27 سنة ولا يزيد عن 45 سنة. يجب أن يكون المتقدم حاصلاً على شهادة البكلوريوس في التسويق وبخبرة لا تقل عن خمس سنوات في مجال التسويق.

موظف في قسم الادارة : يجب أن يكون المتقدم للعمل حاصلاً على شهادة البكلوريوس في الادارة او السكرتارية أو شهادة دبلوم من معهد الادارة والاقتصاد. يجب ان يكون المتقدم ذو مهارة في استخدام الحاسوب. يجب ان لا تقل خبرة المتقدم عن ثلاث سنوات على الأقل.

مهندس تدفئة وتكييف: يجب ان يكون المتقدم حاصلاً على شهادة الهندسة في مجال التبريد والتكييف او في اختصاص مشابه. يجب ان يكون قد زاول هذا العمل من قبل لثلاث سنوات على الأقل. يجب ان يكون المتقدم مستعدا للعمل في نوبات العمل المسائية او الصباحية.

سائق شاحنة: يجب ان يجتاز المتقدم اختبار السواقة في دائرة المرور العامة. يجب ان يكون المتقدم مستعداً لنقل المنتجات من بغداد إلى باقي محافظات العراق وبالعكس.

عمال تنظيف: العدد 7. يجب ان يكون المتقدم مستعداً للعمل في نوبة العمل المسائية فقط. الخبرة غير مهمة. يجب ان يجتاز المتقدم اختبار السلامة.

يُدفع للموظفين الراتب الاسمي بالاضافة الى مخصصات النقل والطعام. للراغبين بالعمل ارسال سيرتهم الشخصية بواسطة عنوان البريد الألكتروني او إرسالها بالفاكس.

عنوان المركز: بغداد- العراق شارع السعدون عمارة 13 الطابق الأول.

الهاتف :7901224317.

الفاكس: 790234267.

مديرة الذاتية :ابتسام عبد الرزاق.
",A
"الإعلان الأول:

فيلا للإيجار:

توجد فيلا للإيجار فوراً في منطقة المعادي الراقية في شارع سكني هادئ. تتميز الفيلا بخمس غرف وحمامين ومطبخ واسع. المطبخ مجهز بأحدث الأجهزة والأدوات الكهربائية (بوتاجاز- ثلاجة بابين- موقد كهربائي- غسالة أطباق). أمام الفيلا حديقة صغيرة أمامية وأخرى خلفية وشرفة. الفيلا تتكون من طابقين والمساحة ربعمائة متر. يوجد رجل أمن في مدخل الفيلا مقيم 24 ساعة. الفيلا خالية ويمكن استئجارها فوراً.

لمزيد من المعلومات اتصل بالرقم التالي: 8165- 241. العنوان: 5 شارع الجزيرة بالمعادي.

الإعلان الثاني:

شقة مفروشة للإيجار:

توجد شقة مفروشة للإيجار بالطابق السابع في عمارة تطل على البحر مباشرة.

توجد ثلاثة مصاعد في البناية. الشقة بها ثلاث غرف نوم وحمامين (حمام كبير وحمام صغير للضيوف). غرف النوم بها أربع خزائن للملابس وثلاثة أسِرة. توجد غرفة جلوس واسعة تسع خمس قطع أثاث. توجد شرفتان في الشقة. الشقة بها كل المستلزمات (تليفزيون- هاتفان- خدمة الانترنت- غسالة ملابس ومنشفة كهربائية- غسالة أطباق). يوجد فرع لبنك الإسكندرية أسفل العقار. الشقة تقع في حي متميز بالإسكندرية وبجوار العمارة كل الاحتياجات (جامع- محل بقالة- حلواني- قهوة- محلات متنوعة). المساحة حوالي مائتين وخمسين متر.

الإيجار الشهري 1500 جنيه مصري، والإيجار لمدة سنة كاملة. الرجاء الاتصال ت: 7165- 555.
",A
"النص الأول:

طلب زواج عاجل جداً:

السلام عليكم،

أنا شاب عمري 29 سنة من المغرب ومن أسرة طيبة. وأبحث عن شابة لطيفة وجميلة ومتواضعة. التعليم الجامعي غير مهم.

عندي شقة وجميع الاستعدادات للزواج. معي بكالوريوس زراعة وأعمل حالياً بوزارة الزراعة في المغرب.

أتحدث ثلاث لغات جيداً (العربية والفرنسية والإنجليزية).

هواياتي هي الرياضة (خاصة كرة السلة) ومشاهدة الأفلام الأجنبية وألعاب الفيديو. أيضاً أحب السفر ويمكنني المعيشة في أي مكان في العالم.

أرجو الاتصال على هاتفي الجوّال: 456- 123- 011.

النص الثاني:

طلب زواج من سوريا:

بسم الله الرحمن الرحيم،

أنا شابة جادة وصادقة في موضوع الزواج عمري بين 25- 30. أنا محجّبـة ومن أسرة طيبة وميسورة الحال. أسكن في دمشق، وأفضـّل البقاء في سوريا بعد الزواج. أنا متعلمة، تخرجت من كلية الآداب وأدرس الآن لأحصل على شهادة الماجستير. لم يسبق لي الزواج.

أبحث عن شاب متدين وعلى خـُلـُق ولا يشرب الكحوليات. يفضّل أن يكون ميسور الحال ويجب أن يكون أعزب لم يسبق له الزواج، والسن غير مهم.

لمن يرغب في المراسلة أرجو الكتابة على البريد الإلكتروني التالي:

1234@hotmail.com
",A
"الرسالة الأولى:

عزيزي محمود،

انه من دواعي السرور أن تدعوني الى مأدبة العشاء التي ستقام يوم الجمعة المقبل في فندق شيراتون. وانني أقدر درجة حسن ضيافتك لي. ولكن يؤسفني أن أخبرك أنني سبق لي أنني وضعت برنامج  لأسرتي  في نفس اليوم. ربما يمكننا أن تُرتب موعداً لاحقاً للتقابل ان شاء الله الشهر القادم. وإنني أتطلع إلى رؤيتكم قريبا.

تحياتي،

ناصر صبري.

الرسالة الثانية:

عزيزتي كريمة،

أشكرك على دعوتك لي لحفلة تخرجك يوم الأربعاء المقبل . فسوف لن أضيع هذه المناسبة السعيدة وقررت أن أحضرها وأشاركك هذه الحفلة. ستصل طائرتي يوم الثلاثاء مساءً حوالي الساعة الخامسة. ستُرافقني ابنتي كوثر في هذه الرحلة.

نتطلع إلى أن نكون جزءا من الاحتفال.

صديقتك خديجة أم كوثر.

الرسالة الثالثة:

عزيزي أحمد ،

أكتب لك هذه الرسالة لأقدم أحر التعازي لك ولعائلتك. ولقد تأثرت كثيرا  حين سمعت بخبر وفاة والدتك.  لقد كانت  امرأة رائعة. وكان لي الشرف والسرور أن أتعّرف على أمك، وأنا آسف جدا بخبر وفاتها. كنت أكنُّ لها عظيم الاحترام  وسوف أفتقدها حقا.

أخبرني ما اذا كنتم تحتاجون الى أية مساعدة في هذه الأوقات الصعبة.... فأنت وعائلتك ستظلون في ذاكرتي وصلاتي  ...

صبرا يا صديقي!

صديقك سمير.
",A
"وُلِد جلال الطالباني في 12 نوفمبر عام 1933 في قرية في كردستان العراق، على مقربة من بحيرة دوكان. درس المرحلة الابتدائية والمتوسطة في مدارس مدينة (كوي سنجق)، ثم واصل تعليمه الثانوي في كركوك وأربيل.

التحق طالباني بكلية الحقوق عام 1953. وتخرج من كلية الحقوق من إحدى جامعات بغداد عام 1959. انضم إلى الحزب الديمقراطي الكردستاني بزعامة الملا مصطفى البارزاني عام 1947. أسس الاتحاد الوطني الكردستاني في سوريا عام 1975 م، وبدأ حركته المسلحة عام 1976 م، ودخل في مفاوضات مع الحكومة العراقية عام 1984.

جلال الطالباني سياسي عراقي كردي ورئيس جمهورية العراق اُنتخب لمنصب رئيس الجمهورية لمدة 4 سنوات في 22 ابريل 2006. أصبح أول زعيم غير عربي يرأس دولة عربية في التاريخ المعاصر. يتكلم اللغات الكردية والعربية والفارسية والتركية والانكليزية بطلاقة.

أدخل إلى مدينة الحسين الطبية في الأردن في 25 فبراير 2007 بعد وعكة صحية أصابته. وقد غادر المستشفى ليتلقى العلاج في مستشفى مايوكلينك في الولايات المتحدة الأمريكية. انتخب في بداية تموز 2008 نائبا لرئيس منظمة سوشيال انترناشينال .
",A
"الاعلان الأول:

عمارة سكنية للبيع بجوار النادي الاهلي في مدينة حلب، مساحة 630 متر  ومكونة من 6 ادوار، مُكيفة ومُجهزة بأحدث الخدمات. المرجو الاتصال بالسيد بركوك على الجوال 524188761.

الاعلان الثاني:

فيلا  للايجار في حي بو رجون الدارالبيضاء قريبة من مسجد الحسن الثاني ومُطلة على الشاطئ .مساحة 150 متر مربع  مُجهزة بأحدث الخدمات مثل مكيف الهواء وغسالة الملابس. تتكون من دورين. المرجو الاتصال بالسيدة حنان مسكون على الجوال 61524432.

الاعلان الثالث:

للسكن الراقي شقة  للبيع في الرباط، مساحتها 220 متر وهي مكونة من 3 غرف نوم و 4 صالات للجلوس و 2 حمام ومطبخ. الشقة في الدور الثامن في عمارة بها 2 أسانسير الموقع مميز : بالقرب من الحديقة الدولية -  المرجو الاتصال بالسيد مروان على الجوال 413566278.
",A
"النص الأول:

يتوقع خبراء الأرصاد الجوية بدء التحسن البسيط في حالة الطقس هذا الأسبوع، حيث تهدأ الرياح مقارنة بأمس، ويسود طقس معتدل الحرارة نهاراً وشديد البرودة ليلاً في القاهرة. وسوف يكون الجو ممطراً ورطباً على الساحل الشمالي خاصة مدينتي الإسكندرية ومطروح.

وكانت البلاد قد تعرضت أمس لحالة عدم الاستقرار في الأحوال الجوية حيث انخفضت درجات الحرارة في معظم المحافظات بمعدل ثلاث أو أربع درجات صاحبها سقوط أمطار خفيفة على المحافظات الساحلية.

وسوف يكون الطقس مشمساً ودافئاً في جنوب البلاد خاصة في لقصر وأسوان وتصل الحرارة إلى حوالي 30، وتسود الرياح الخفيفة الدافئة على سواحل البحر الأحمر ويكون الطقس معتدلاً غائماً في مدينتي شرم الشيخ والغردقة.

النص الثاني:

حالة الطقس في مدينة الإسكندرية 20- 24 فبراير:

الأربعاء:

ترتفع درجات الحرارة ويكون الجو لطيفاً نهاراً وتصل الحرارة تقريباً إلى 25 مع ظهور بعض السحب العالية وبارداً ليلاً.

الخميس:

ترتفع درجات الحرارة ويكون الطقس دافئاً نهاراً مع ظهور بعض السحب العالية، وتكون الرياح شديدة السرعة أثناء الليل.

الجمعة:

تنخفض درجات الحرارة ويصبح الجو بارداً أثناء النهار وشديد البرودة ليلاً.

السبت:

تأتي الأمطار الغزيرة صباحاً مصحوبة برياح شديدة السرعة، وتستمر الأمطار حتى المساء وتهدأ الرياح ليلاً.

الأحد:

ترتفع درجات الحرارة ويكون الجو معتدلاً نهاراً والرياح شمالية غربية معتدلة السرعة، وفي المساء تتكاثر الغيوم المنخفضة وتسقط الأمطار ليلاً.
",A
"العيادة العائلية لطب الأسنان.  

للحصول على ابتسامة أنيقة ودائمة... اتصلوا بعيادة الدكتورة القديرة شيرين حمادة...

تُقدم العيادة استشارات مجانية وتقبل جميع أنواع التأمين..... وهناك تسهيلات بالدفع...

تحتوي العيادة على أحدث المُعدات والوسائل لمعالجة أسنانكم والعناية بها....

خدمات العيادة:

تجميل الاسنان.
زرع الاسنان.
تلبيس الأسنان وتركيب الجسور.
تقويم الاسنان.
تبييض الاسنان.
جراحة الفم.
خلع الأسنان.
وللمزيد من المعلومات، اتصلو بنا على الرقم الاتي 223- 434- 2332 .

وكالة حبيبي:

الجودة في الخدمة..... وكالة حبيبي تُقدم لكم خدمات فريدة من نوعها ....محاسبة... حسابات ضريبية... أو في التأمين...

خدماتنا تشمل:

إعداد المرتبات والضرائب الدورية.
تحضير الضرائب.
التّأمين على السيارات.
التّأمين التجاري.
التّأمين الصحي.
لكافة احتياجاتكم في التأمين، المحاسبة والضرائب..... المرجو الاتصال بمقرنا في مرلاند على الرقم التالي: 325- 637- 0098.
",A
"المقطع الأول:

مرحبا، اسمي كلاوديو. أنا من إيطاليا وأنا طالب. عمري الخامسة والعشرين سنة. أنا أعيش في شقة مع والدي. أذهب إلى الجامعة خمسة أيام في الأسبوع. أود الذهاب الى الديسكو يوم السبت. أنا لا أحب ممارسة الرياضة. لدي أخت واحدة وشقيق واحد،  أنطونيو وماريا. 
المقطع الثاني:

مرحبا، اسمي تشول ولقد جئت من كوريا. عمري أربعين سنة. أنا رجل أعمال وأنا أعمل في سيول. أنا متزوج ولدي طفلان، مين جي فتاة، وداك، هو صبي. أسكن في منزل صغير في الضواحي. وآخذ مترو الانفاق الى العمل من الاثنين إلى الجمعة. أحب لعب الغولف في وقت فراغي. أنا لا أحب  غناء ""الكاراووكي""!
المقطع الثالث:

مرحبا اسمي ادريس، أنا من الدار البيضاء في المغرب. عمري تسعة عشر سنة. وما زلت أعيش مع والداي في بيت  كبير يطل على شاطئ عين دياب. أنا طالب في المدرسة الثانوية. أنا أحب موسيقى الثمانينات وخصوصا مجموعتي ""موديرن تالكين"" ""وبيت شوب بويز""  أنا الابن الوحيد في الأسرة.
المقطع الرابع:

مرحبا اسمي جولييت وأنا من مرسيليا في فرنسا. عمري ثلاثة وعشرين سنة وأنا أعيش مع جاك خطيبي في شقة صغيرة في قلب المدينة. أنا أدرس الطب، وهذه هي السنة الثانية لي. أحب الرقص والشرب. لدي أخت واحدة، ميشيل، وعمرها 7 سنوات.
",A
"مرحبا بكم في مول أنفا. حان موعد التخفيض الشهري  والذي يمتد من 1 الى 7 من فبراير. 

لدينا مخزون كبير من المواد بأسعار مخفضة، بدءا من ملابس الرجال  والنساء إلى الملابس الكاجوال والاكسسوارات وملابس الأطفال، وأيضاً جميع أنواع الأحذية.

يقدم قسم ملابس الرجال تشكيلة واسعة من القمصان البيضاء في الأحجام التي تتراوح من الصغيرة الى الكبيرة،الى الكبيرة جدا، فضلا عن رابطات العنق من جميع الألوان كقوس قزح،  والأرجواني والأخضر والأزرق والأصفر والأحمر. هذا القسم يقدم أيضا الكنزات الصوفية الخفيفة للعمل أو لللباس الكاجوال. 

للسيدات،  نقدم التنانير من شتّى الألوان، من البرتقالي والعنابي والأزرق الفاتح والوردي الى أي نوع تتصور كالأحمر  (لون الحب)  بالاضافة الى  آخر موضة معاطف فصل الشتاء ...وهذا  بأسعار خاصة فقط في هذا الموسم.

في قسم ملابس الأطفال سوف تجد كل شيء لجعل طفلك أكثر سعادةً،  من ثياب وجوارب للفتيات، الى بنطلونات وقمصان للبنين.

لماذا لا تشتري واحدة من أحذيتنا الأنيقة الجديدة للعائلة بأكملها؟ لدينا كل نوع من  صنادل للشاطئ، وأحذية الحفلات، كأحذية الكعب العالي إلى أحذية الرياضة أو التخييم.
",A
"الجزء الأول:

هي مدينة عالمية على أرض مصرية اشترك في تصميمها ثلاث من كبرى الشركات الأمريكية المتخصصة في تصميم المدن الجديدة  حيث انتهت جميعها إلى تصميم مدينة عصرية ركز  تخطيطها على توفير الاحتياجات الحالية والمستقبلية لسكانها والمترددين عليها .

تضم  ""مدينتي""   مناطق السكنية المختلفة من فيلات وعمارات، ومراكز للتسوق والمساحات الخضراء الواسعة، وملاعب الجولف والفنادق الراقية بالإضافة إلي الخدمات اليومية التي توفر احتياجات السكن، والمناطق الترفيهية. وتضم المدينة على أطرافها الخارجية خدمات ضخمة وجديدة من نوعها لتلبي احتياجات المدينة والمدن المجاورة وحتى القاهرة الكبرى، بما تتيحه من أنشطة  ومراكز التسوق الحديثة ومنطقة الألعاب المائية والمؤسسات التعليمية المختلفة ...الخ.

فهي مدينة تقام على مساحة 8 آلاف فدان لتوفر الحياة العصرية ل 600 ألف نسمة في 120 ألف وحدة سكنية مختلفة وتعمل كامتداد حضاري للقاهرة الجديدة. 

الجزء الثاني:

قسمت المناطق السكنية بمدينتي إلى مناطق للفيلات وأخرى للعمارات . بحيث يتوسط كل مجموعة منها منطقة خضراء واسعة تشكل متنفسا تطل عليه جميع الوحدات. تقوم فلسفة التطوير العمراني لمدينتي على توفير مجتمع مُتميز ضمن مدينة حديثة التخطيط تأخذ في اعتبارها الاحتياجات المتفاوتة للسكان.
",A
"الجزء الأول:

معلومات عن الفندق:

العنوان: 60 شارع عبد السلام عارف لوران، الإسكندرية، جمهورية مصر العربية.

مطار النزهة بالإسكندرية(ALY): عشر دقائق.

مطار برج العرب (HBE): خمسة وأربعين دقيقة.

معلومات عن الحجز:

وقت الوصول: 3 مساءً.

وقت المـغادرة: الثانية عشرة ظهراً.

الوصول المبكر والمغادرة المتأخرة:

في حالة الوصول المبكر والرغبة في الدخول إلى الغرفة مباشرةً يـرجى حجز الليلة السابقة. كذلك عند المغادرة المتأخرة يرجى حجز ليلة إضافية لضمان استخدام الغرفة حتى مغادرة الفندق.

سياسة إلغاء الحجز: لابد من استلام الفندق إلغاء الحجز 72 ساعة قبل السادسة مساء يوم وصول الضيف. وإذا لم يتم استلام طلب الإلغاء سيقوم الفندق باحتساب تكلفة الإقامة ليوم واحد.

كروت الائتمان:

نقبل البطاقات التالية في الفندق:

 American Express

MasterCard

Visa

الجزء الثاني:

مطعم باندا:

يعتبر مطعم ""باندا"" الذي يقدم أطباقاً مصرية فاخرة مطعم الفندق الرئيسي. استمتع بالأجواء الأنيقة والخدمة الممتازة، واستمتع بالمناظر الساحرة للبحر الأبيض المتوسط.

الأطباق المتميزة: المقبلات الشرقية والأطباق المصرية التقليدية.

ساعات العمل:

العشاء (مايو إلى نوفمبر):

على مدار الأسبوع 7:00 مساءً-1:00 صباحاً.

العشاء (ديسمبر إلى أبريل):

الثلاثاء إلى الأحد 7:00 مساءً-1:00 صباحاً.

مرجع سريع:

الموقع: الطابق الثالث.

أماكن الجلوس بالداخل: 62.

أماكن الجلوس في الخارج: 25.

الملابس: أنيقة غير رسمية.

الحجز: يـُرجى الحجز مقدماً.

لا يقدم المطعم بوفيه الإفطار أو الغداء في الوقت الحالي.
",A
"نبيع كافة الاجهزة الألكترونية وبأسعار مناسبة. لدينا كافة أنواع الماركات العالمية. زوروا محلنا الواقع في منطقة عبدون في عمان.

حواسيب آلية وطابعات ملونة:

لدينا مجموعة كبيرة من الحواسيب الآلية ولدينا أيضا مجموعة متنوعة من شاشات الحواسيب بمختلف احجامها ولوحات المفاتيح وكاميرات وسماعات اذن مع لاقطات صوت. لدينا ايضا مجموعة متنوعة من طابعات ملونة ومن مختلف الماركات العالمية.

الهواتف المحمولة والالعاب الاكترونية:

نبيع كافة انواع موديلات الهواتف المحمولة منها نوكيا وسامسونك وال جي وبطاقات السيم والاكسسوارات. لدينا مجموعة هائلة من الألعاب الألكترونية تناسب مختلف الأعمار. لدينا العاب ترفيهية وتربوية.

تلفزيونات متنوعة وحديثة:

نبيع كافة أنواع التلفزيونات وبأحجام مختلفة منها تلفزيونات بشاشات مسطحة وشاشات عادية. نبيع انواع التلفزيونات الجديدة كالبلازما وباحجامها الكبيرة المتراوحة مابين 32 بوصة الى 70 بوصة. تلفزيونات ماركة سوني 34 بوصة مسطحة مع طاولات خاصة بنفس التلفزيونات.

قسم الصيانة:

نقدم خدمات صيانة لجميع الاجهزة الكهربائية وكذلك بيع قطع غيار الاجهزة المختلفة. مهندسونا يقدمون خدمة الصيانة الوقائية للحواسيب الشخصية. نقدم ايضاً ضمان مع شراء الاجهزة الاكترونية لمدة 3 سنوات.
",A
"الجزء الأول:

الاسم الرسمي: جمهورية مصر العربية.

الموقع الجغرافي: شمال قارة أفريقيا.

العاصمة: القاهرة.

أهم المدن: القاهرة والإسكندرية وشرم الشيخ.

أهم الديانات: الإسلام والمسيحية القبطية.

اللغة السائدة: العربية.

الطقس: يتميز الطقس في الكثير من المناطق بمصر (مثل القاهرة) بالبرودة أثناء فصل الشتاء والحرارة والجفاف في الصيف، أمـّا بعض المناطق الساحلية مثل الإسكندرية فتتميز بالبرودة والأمطار في الشتاء والطقس الحار الرطب أثناء الصيف.

السكان: يبلغ عدد سكان مصر حالياً ثمانين مليون نـسـمـة.

التاريخ: تتمتع مصر بتاريخ فرعوني عريق بالإضافة إلى التاريخ الإسلامي والقبطي.

الجزء الثاني:

المعالم الجغرافية: يعتبر نهر النيل أطول أنهار العالم، ويمتد من أقصى جنوب مصر إلى البحر الأبيض المتوسط شمالاً. وتتميز مصر أيضاً بعدة بحيرات مثل بحيرة ناصر وبحيرة قارون.

المناطق السياحية: تقع أهرامات الجيزة قرب العاصمة، وتوجد العديد من الآثار الفرعونية في مدينتي الأقصر وأسوان جنوب البلاد، وتقدم مدينتا شرم الشيخ والغردقة فرصاً رائعة للاستمتاع بالطقس الدافئ وممارسة الرياضة المائية مثل السباحة والغوص،وتعتبر مدينة الإسكندرية من أهم المعالم السياحية للمصريين والأجانب نظراً للتاريخ الروماني واليوناني هناك.

النظام السياسي: أسفرت ثورة 23 يوليو عام 1952 عن استقلال جمهورية مصر العربية من الملك فاروق الأول، وسافر بعد الثورة إلى المنفى في إيطاليا. وشهدت الجمهورية ثلاثة رؤساء حتى الآن وهم جمال عبد الناصر وأنور السادات وحسني مبارك. قامت ثورة 25 يناير عام 2011 وأجبرت نظام حسني مبارك على الاستقالة من الحكم.

النظام التعليمي: يتكوّن النظام التعليمي في مصر من ست سنوات في المرحلة الابتدائية ثم ثلاث سنوات في المرحلة الإعدادية وتليها ثلاث سنوات في المرحلة الثانوية. يلتحق الشباب بالجامعات أو المعاهد بعد الحصول على الثانوية العامة.
",A
"النص الأول:

الأسئلة الشائعة على موقعنا: التسجيل في الخدمة.

كيف يمكنني الاشتراك في خدمات البنك على النت؟

عليك الذهاب إلى البنك وملئ استمارة هناك. بعد ذلك سوف نرسل لك رقماً تعريفياً مؤقتاً في البريد. يمكنك بعد ذلك أن تدخل على الموقع وتقوم بالتسجيل لخدمات البنك على موقعنا.

كيف يمكنني إعادة تنشيط خدمة البنك على النت؟

عليك الاتصال بمركز خدمة العـُملاء وإعطاء بعض البيانات الخاصة للتأكد من هويتك. بعد ذلك يتم إعادة تشغيل حسابك على الانترنت.

متى يمكنني استخدام خدمة الموقع؟

خدمة الموقع متوّفرة كل يوم على مدار 24 ساعة.

كيف أغيـّر كلمة المرور؟

ادخل في حسابك على موقعنا واضغط على أيقونة ""تغيير كلمة المرور"". سوف يـُطلب منك إعطاء الإجابات على بعض الأسئلة الخاصة بك.

ماذا يحدث إذا كانت كلمة المرور غير صحيحة؟

يمكنك محاولة إدخال كلمة المرور ثلاث مرات، وإذا فشلت كل المحاولات، عليك إجابة عدداً من الأسئلة السرية الخاصة بك.

النص الثاني:

الأسئلة الشائعة على موقعنا: بطاقات الائتمان.

ما هي أنواع بطاقات الائتمان التي يقدمها البنك؟

يقدم البنك نوع الفيزا والفيزا كلاسيك والماستر كارد. وتختلف المبالغ المـُتاحة للاقتراض لكل بطاقة.

هل يمكنني أن اشترك في خدمة النت للوصول إلى حسابي؟

نعم يمكنك أن تباشر حساب بطاقة الائتمان عن طريق خدمة النت. يمكنك الاطلاع على آخر تاريخ عملية دفع وأيضاً على قائمة مشترياتك.

هل يمكنني الحصول على أكثر من بطاقة ائتمان في وقت واحد؟

نعم يمكنك الحصول على ثلاث بطاقات ائتمان في وقت واحد كحد أقصى.

هل يمكنني استخدام بطاقة الائتمان خارج جمهورية مصر العربية؟

نعم، يمكنك استخدام بطاقتك في أي بلد عربي. سوف تدفع رسماً صغيراً حين تستخدم البطاقة في أي دولة غربية.

ماذا أفعل إذا فقدت بطاقتي؟

في حالة فقدان البطاقة عليك الاتصال بقسم بطاقات الائتمان فوراً لإلغائها. الرقم هو: 1234567 داخل مصر.

للمزيد من المعلومات يرجى الاتصال بمركز خدمة العملاء على رقم 12345 أو عن طريق البريد الإلكتروني: alexbanking@abe.net.eg
",A
"اندرو طالب أمريكي من ولاية واشنطن عمره ثمانية عشر سنة، يحب السفر والدراسة في الخارج، جاء إلى الأردن خلال إجازته السنوية لدراسة اللغة العربية في مركز اللغات في الجامعة الأردنية.

وصل اندرو إلى مطار عمّان وأقام في الفندق ثلاثة أيام، وفي اليوم الرّابع بدأ يبحث عن شقة صغيرة بسعر مناسب في مِنطقة قريبة من الجامعة.

كان اندرو يخرج كل يوم يبحث عن شقة، يمشي في شوارع المدينة وبين أحيائِها يسأل الناس وأصحاب المحلات عن شقة مناسبة. وبينما كان اندرو يقرأ جريدة الرأي وجد الإعلان التالي:

شقة للايجار:

الموقع: جبل الحسين، بناية خليفة، الطابق الثالث.

تتكون الشقة من غرفة نوم وغرفة جلوس وغرفة طعام ومطبخ حديث وحمّام كبير.

